Mint Name	Country	Location	From	To	Coins Produced
ABC Refinery	Australia	Sydney, NSW	1978		10
Adelaide Assay Office	Australia	Adelaide, SA	1852	1852	3
Aegina Mint	Greece	Aegina	1828	1833	11
AllCollect	Germany	Pirmasens, Rhineland-Palatinate	2005		90
Altona Mint	Denmark	Altona, Holstein	1771	1863	4
American Medallion Corporation	United States	Houston, Texas	1986	1989	1
APMEX	United States	Oklahoma City, Oklahoma	2000		255
Argentia Precious Metals	Canada	Richmond Hill, Ontario	2022		19
Argor-Heraeus	Switzerland	Mendrisio	1951		18
Art Mint	France	Paris	2013		2
Asahi Refining	Japan	Tokyo	1952		2
Bavarian Central Mint	Germany	Munich	1871		860
B. H. Mayer	Germany	Karlsfeld, Bavaria	1871		383
Bullion Exchanges	United States	New York	2012		6
Bulmint	Bulgaria	Plovdiv	2004		19
Casa da Moeda do Brasil (Mint of Brazil)	Brazil	Rio de Janeiro	1694		
Casa de Moneda de Chile (Chilean Mint)	Chile	Santiago	1743		
Casa de Moneda de Jubia (National Mint of Xuvia)	Spain	Xuvia	1812	1868	
Casa de Moneda de la República Argentina (Mint of Argentina)	Argentina	Buenos Aires	1881		
Casa de Moneda de México (Mexican Mint)	Mexico	San Luis Potosí, San Luis Potosí	1535		422
Central Mint	Taiwan	Taoyuan City	1920		
Česká mincovna (Czech Mint)	Czech Republic	Jablonec nad Nisou	1993		2,411
CIT Coin Invest	Liechtenstein	Liechtenstein	1970		1,839
Commonwealth Mint	United Kingdom	Bristol	2005		73
Crown Mint	United States	Scottsdale, Arizona	2008		78
Currency Centre (Irish Mint)	Ireland	Dublin	1978		
Darphane (Turkish State Mint)	Turkey	Istanbul	1467		
Den Kongelige Mønt (Royal Danish Mint)	Denmark	Copenhagen	1541		39
Det Norske Myntverket (Mint of Norway; ex Den Kongelige Mynt)	Norway	Kongsberg	1686		20
Downies	Australia	Melbourne, Victoria	1932		
East India Company (modern)	United Kingdom	London	2010		322
Engelhard	United States	Iselin, New Jersey,	1902	2006	4
European Mint	Estonia	Tallinn	2013		
Fábrica Nacional de Moneda y Timbre (Royal Mint of Spain)	Spain	Madrid	1893		72
Franklin Mint	United States	New York, NY	1964		206
Garitsa	Greece	Garitsa, Corfu	1801	1801	6
Geiger Edelmetalle	Germany	Leipzig	1218		97
Germania Mint	Poland	Jelenia Góra	2018		20
Golden State Mint	United States	Florida	1947		
Gold Reef City Mint	South Africa	Germiston, Gauteng	1976		20
Gori & Zucchi (Arezzo Mint)	Italy	Arezzo	1926		6
Granada Mint	Spain	Granada	1492	1688	1
Hamburgische Münze	Germany	Hamburg	834		587
Heaton and Sons (Birmingham Mint)	United Kingdom	Birmingham, England	1850	2003	253
Heimerle + Meule	Germany	Pforzheim, Baden-Württemberg	1845		27
Helvetic Mint	Switzerland	Rothenburg, Luzern	2011		16
Highland Mint	United States	Melbourne, Florida	1989		7
Hong Kong Mint	Hong Kong, British	Hong Kong	1866	1868	
Hrvatski novčarski zavod (Croatian Monetary Institute)	Croatia	Sveta Nedelja	1993		
Hungarian Mint	Hungary	Budapest	1925		4
Imprensa Nacional-Casa da Moeda (Mint of Portugal)	Portugal	Lisbon	1299		75
India Government Mint, Hyderabad (ex Nizam’s Mint)	India	Cherlapally, Hyderabad	1803		
India Government Mint, Kolkata (ex Calcutta Mint)	India	Kolkata, West Bengal	1757		9
India Government Mint, Mumbai (ex Bombay Mint)	India	Mumbai, Maharashtra	1829		28
India Government Mint, Noida	India	Noida, National Capital Region	1988		
Intaglio Mint	United States	Sedalia, Colorado	2010		2
Israel Coins and Medals Corp.	Israel	Nesher	1958		9
Istituto Poligrafico e Zecca dello Stato (Italian Mint)	Italy	Rome	1928		38
JM Bullion	United States	Dallas, Texas	2011		
John Pinches Medallists	United Kingdom	London	1840	1969	1
J.R. Gaunt and Son	United Kingdom	Birmingham	1884	1993	1
Juveel	Estonia	Talinn	1923		15
JVP Investment Coins	Germany	Berlin	2012		2
